Projekt_ID,AP_Name,Monat,Ressourcen,Stunden,Kosten
ICE-001,Planung,2024-01,3,480,36000
ICE-001,Planung,2024-02,2,320,24000
ICE-001,Entwicklung,2024-02,8,1280,96000
ICE-001,Entwicklung,2024-03,6,960,72000
ICE-001,Entwicklung,2024-04,8,1280,98000
ICE-001,Entwicklung,2024-05,10,1600,120000
ICE-001,Entwicklung,2024-06,8,1280,96000
ICE-001,Testing,2024-06,4,640,48000
ICE-001,Testing,2024-07,8,1280,96000
ICE-001,Testing,2024-08,6,960,72000
ICE-001,Rollout,2024-09,4,640,50000
ICE-001,Rollout,2024-10,6,960,72000
ICE-001,Rollout,2024-11,8,1280,96000
ICE-001,Wartung,2024-12,3,480,36000
